Japla,JPL,,
Jarandeshwar,JSV,,
Jargaon,JRJ,,
Jari,JARI,Gujarat,
Jaruda Naraa,,,
Jarwal Road,JLD,,
Jasia,JSA,Haryana,
Jasali,JSI,,
Jasidih Junction,JSME,Jharkhand,
Jasra,JSR,,
Jaswantgarh,JSH,,
Jaswantnagar,JGR,,
Jataula Samphka,JSKA,Haryana,
Jath Road,JTRD,,
Jatinga,JTG,Assam,
Jatusana,JTS,Haryana,
Jaulka,JUK,,
Jaunpur City Railway Station,JOP,Uttar Pradesh,
Jaunpur Junction,JNU,Uttar Pradesh,
Javale,JVA,,
Jawad Road,JWO,Madhya Pradesh,
Jawai Bandh,JWB,,
Jawali,JAL,Rajasthan,
Jawalamukhi Road,JMKR,Himachal Pradesh,
Jayasingpur,JSP,,
Jaynagar,JYG,Bihar,
Jaynagar Majlipur,JNM,,
Jehanabad,JHD,Bihat,
Jejuri,JJR,,
Jenal,JNZ,Gujarat,
Jeonathpur,JEP,,
Jetalsar Junction,JLR,Gujarat,
Jetalvad,JTV,,
Jetpur,JTP,Gujarat,
Jeur,JEUR,Maharashtra,
Jagannath Temple Gate,JGE,Odisha,
Jhadupudi,JPI,Andhra Pradesh,
Jhagadiya Junction,JGI,,
Jhajha,JAJ,Bihar,
Jhalawar Road,JHW,Rajasthan,
Jhalida,JAA,West Bengal,
Jhanjharpur,JJP,Bihar,
Jhansi Junction,JHS,Uttar Pradesh,
Jhargram,JGM,West Bengal,
Jharia,JRI,Jharkhand,
Jharokhas,JRQ,,
Jharsuguda Junction,JSG,Odisha,
Jharwasaa,JWS,,
Jhingura,JHG,,
Jhinjhak,JJK,Uttar Pradesh,
Jhunjhunu,JJN,Rajasthan,
Jhunpa,JUP,,
Jigna,JIA,,
Jind Junction,JIND,Haryana,
Jira Road,JIR,,
Jiradei,ZRD,,
Jiribam,JRBM,Manipur,
Jirighat,JIGT,Assam,
Jiron,JRO,,
Jiyapuram,JPM,Tamil Nadu,
Jodhpur Junction,JU,Rajasthan,
Jogbani,JBN,Bihar,
Jogeshwari,JOS,Maharashtra,
Jogi Magra,JOM,,
Jogidih,JGF,,
Jogighopa,JPZ,Assam,
Joginder Nagar,JDNX,Himachal Pradesh,
Jogiwala,JGW,,
Jolarpettai Junction,JTJ,Tamil Nadu,
Jone Karrang,JYK,,
Joravaragar,JVN,Gujarat,
Jorhat,JT,Assam,
Jorhat Town,JTTN,Assam,
Jotana,JTN,,
Joychandi Pahar railway station,JOC,West Bengal,
Juchandra,,Maharashtra,
Jugijan,JGJN,Assam,
Juinagar,,Maharashtra,
Jukehi,JKE,,
Julana,JNA,Haryana,
Junagadh C B,JNDC,Gujarat,
Junagadh Junction,JND,Gujarat,
Jung Bahadurganj,JBG,,
Junichavand,JCN,,
Junnor Deo,JNO,,
Juriagaon,JRX,Assam,
Jutogh,JTO,Himachal Pradesh,
Jwalapur,JWP,,
K[edit],,,
Station Name,Station Code,State,
Kacheguda,KCG,Telangana,
Kachhwa Road,KWH,,
Kadalundi,KN,Tamil Nadu,
Kadambur,KDU,Tamil Nadu,
Kadaynallur,KDNL,Tamil Nadu,
Kadiri,KRY,Andhra Pradesh,
Kadur Junction,DRU,Karnataka,
Kaithalkuchi,KTCH,Assam,
Kakinada Port,COA,Andhra Pradesh,
Kakinada Town,CCT,Andhra Pradesh,
Kankinara,KNR,West Bengal,
Kalachand,KQI,Assam,
Kalamboli,,Maharashtra,
Kalanaur kalan,KLNK,Haryana,
Kalka,KLK,Haryana,
Kalkalighat,KKGT,Assam,
Kalwa,,Maharashtra,
Kalyan,KYN,Maharashtra,
Kalyani,KLY,West Bengal,
Kalyanpur(Kanpur),KAP,Uttar Pradesh,
Kalyanadurg,KYNDGM,Andhra Pradesh,
Kalinarayanpur Junction,KLNP,West Bengal,
Kalol Junction,KLL,Gujarat,
Kamakhya Junction,KYQ,Assam,
Kaman Road,,Maharashtra,
Kamareddi,KMC,Telangana,
Kampil Road,KXF,Uttar Pradesh,
Kamshet,KMST,Maharashtra,
Kamakhya Junction,KYQ,Assam,
Kampur,KWM,Assam,
Kamrup Khetri,KKET,Assam,
Kanaibazar,KNBR,Assam,
Kanchipuram,CJ,Tamil Nadu,
Kandivali,KILE,Maharashtra,
Kangra,KGRA,Himachal Pradesh,
Kanhangad,KZE,Kerala,
Kanina Khas,KNNK,Haryana,
Kaniyapuram,KXP,Kerala,
Kanjiramittam,KPTM,Kerala,
Kanjurmarg,,Maharashtra,
Kankanadi,KNKD,Karnataka,
Kannauj,KJN,Uttar Pradesh,
Kanpur Anwarganj,CPA,Uttar Pradesh,
Kanpur Central,CNB,Uttar Pradesh,
Kanpur Rooma,RMX,Uttar Pradesh,
Kanpur SMU CBSA CPSM,CPSM,Uttar Pradesh,
Kanpur Govindpuri Railway Station,GOY,Uttar Pradesh,
Kanpur Panki,PNK,Uttar Pradesh,
Kanpur Bridge Left Bank,CPB,Uttar Pradesh,
Kanyakumari,CAPE,Tamil Nadu,
Kapurthala,KXH,Punjab,
Karad,KRD,Maharashtra,
Karaikkudi Junction,KKDI,Tamil Nadu,
Karanja,KRJA,Maharashtra,
Karimganj Junction,KXJ,Assam,
Karimnagar,KRMR,Telangana,
Karjat,S,Maharashtra,
Karnal,KUN,Haryana,
Karur Junction,KRR,Tamil Nadu,
Karunagappalli,KPY,Kerala,
Karwar,KAWR,Karnataka,
Kasara,N,Maharashtra,
Kasaragod,KGQ,Kerala,
Kashi,KEI,Uttar Pradesh,
Katakhal Junction,KTX,Assam,
Kathivakkam,KAVM,Tamil Nadu,
Katihar,KIR,Bihar,
Katlicherra,KLCR,Assam,
Katni,KTE,Madhya Pradesh,
Katol,KATL,Maharashtra,
"Katpadi Junction, Vellore",KPD,Tamil Nadu,
Katra,KEA,Uttar Pradesh,
Kavali,KVZ,Andhra Pradesh,
Kayamkulam,KYJ,Kerala,
Kayasthagram,KTGM,Assam,
Kazhakoottam TechnoPark Trivandrum,KZK,Kerala,
Kazipet Junction,KZJ,Telangana,
Kelavli,,Maharashtra,
Kelve Road,KLV,Maharashtra,
Kendukana,KDKN,Assam,
Kesinga,KSNG,Odisha,
Kesamudram,KDM,Telangana,
Khadavli,KDV,Maharashtra,
Khadki,KK,Maharashtra,
Khairthal,KRH,Rajasthan,
Khajuraho,KURJ,Madhya Pradesh,
Khalilpur,KIP,Haryana,
Khambhaliya,KMBL,Gujarat,
Khamgaon,KMN,Maharashtra,
Khamkhed,KMN,Maharashtra,
Khammam,KMT,Telangana,
Khana Junction,KAN,West Bengal,
Khandala,KAD,Maharashtra,
Khandeshwar,,Maharashtra,
Khandwa,KNW,Madhya Pradesh,
Khanna,KNN,Punjab,
Kharagpur Junction,KGP,West Bengal,
Kharbao,,Maharashtra,
Khardi,KE,Maharashtra,
Kharghar,,Maharashtra,
Khar Road,KHAR,Maharashtra,
Khatauli,KAT,Uttar Pradesh,
Khatu,KHTU,Rajasthan,
Khed,KHED,Maharashtra,
Khera Kalan,KHKN,Delhi,
Khopoli,KP,Maharashtra,
Khurai,KYE,Madhya Pradesh,
Kinwat,KNVT,Maharashtra,
Kirakat railway station,KCT,Uttar Pradesh,
Kirloskarvadi,KOV,Maharashtra,
Kirnahar,KNHR,West Bengal,
Kilikolloor,KLQ,Kerala,
King's Circle,,Maharashtra,
Kishanganj,KNE,Bihar,
Kiul Junction,KIUL,Bihar,
Kochuveli (Trivandrum /Thiruvananthapuram),KCVL,Kerala,
Kodaikanal road,KQN,Tamil Nadu,
Koderma,KQR,Jharkhand,
Kodinar,KODR,Gujarat,
Kodumudi,KMD,Tamil Nadu,
Koduru,KOU,Andhra Pradesh,
Kokrajhar,KOJ,Assam,
Kolar,KQZ,Karnataka,
Kollidam,CLN,Tamil Nadu,
Kolhapur,KOP,Maharashtra,
Kolad,KOL,Maharashtra,
Kolkata Railway Station,KOAA,West Bengal,
Kollam Junction,QLN,Kerala,
Konnagar,KOG,West Bengal,
Kopar,,Maharashtra,
Kopargaon,KPG,Maharashtra,
Kopar Khairane,,Maharashtra,
Koraput Junction,KRPU,Odisha,
Korattiangadi,,Kerala,
Korattur,KOTR,Tamil Nadu,
Korba,KRBA,Chhattisgarh,
Koregaon,KRG,Maharashtra,
Korukkupet,KOK,Tamil Nadu,
Kosamba,KSB,Gujarat,
Kosi Kalan,KSV,Uttar Pradesh,
Kosli,KSI,Haryana,
Kotdwar,KTW,Uttarakhand,
Kot Kapura,KKP,Punjab,
Kota Junction,KOTA,Rajasthan,
Kotli Kalan,KTKL,Punjab,
Kotma,KTMA,Madhya Pradesh,
Kotshila Junction,KSX,West Bengal,
Kottapalli,KYOP,Telangana,
Kottavalasa,KTV,Andhra Pradesh,
Kottayam,KTYM,Kerala,
Kottarakkara,KTR,Kerala,
Kottikulam,KQK,Kerala,
Kotturu,KTY,Andhra Pradesh,
Kovilpatti,CVP,Tamil Nadu,
Koyilandy,QLD,Kerala,
Kozhikode,CLT,Kerala,
Krishna,,Andhra Pradesh,
Krishna Canal,KCC,Andhra Pradesh,
Krishnai,KRNI,Assam,
Krishnarajapuram,KJM,Karnataka,
Kuchaman City,KMNC,Rajasthan,
Kudal,KUDL,Maharashtra,
Kulitalai,KLT,Tamil Nadu,
Kulpahar,KLAR,Uttar Pradesh,
Kulti,ULT,West Bengal,
Kumgaon Burti,KJL,Maharashtra,
Kumbakonam,KMU,Tamil Nadu,
Kumta,KT,Karnataka,
Kundapura,KUDA,Karnataka,
Kuppam,KPN,Andhra Pradesh,
Kuram,KUM,Maharashtra,
Kuri,KFI,Kerala,
Kurichedu,KCD,Andhra Pradesh,
Kurduvadi,KWV,Maharashtra,
Kurla,C/CH,Maharashtra,
Kurnool Town,KRNT,Andhra Pradesh,
Kurukshetra Junction,KKDE,Haryana,
Kuttippuram,KTU,Kerala,
Kashipur,KPV,Uttarakhand,
Khurda Road,KUR,Odisha,
kursela,KUE,bihar,
katihar,KIR,bihar,
L[edit],,,
Station Name,Station Code,State,
Laban,LBN,,
Labha,LAV,,
Labhpur,LAB,West Bengal,
Lachhipura,LAC,,
Lachhmangarh SK,LNH,,
Lachhmanpur,LMN,,
Lachyan,LHN,,
Ladhowal,LDW,Punjab,
Ladnun,LAU,,
Laheria Sarai,LSI,Bihar,
Lahli,LHLL,Haryana,
Laimekuri,LMY,,
Lakadiya,LKZ,,
Lakheri,LKE,,
Lakhimpur,LMP,Uttar Pradesh,
Lakhminia,LKN,,
Lakhnauria,LNQ,,
Lakhtar,LTR,,
Lakkidi,LDY,Kerala,
Laksar Junction,LRJ,Uttarakhand,
Lakshmibai Nagar,LMNR,,
Lal Kuan,LKU,Uttarakhand,
Lalabazar,LLBR,Assam,
Lalapet,LP,,
Lalganj,LLJ,Uttar Pradesh,
Lalgarh Junction,LGH,Rajasthan,
Lalgopalganj,LGO,,
Lalgudi,LLI,,
Lalitpur,LAR,Uttar Pradesh,
Lalpur,LLR,,
Lalpur Chandra,LCN,,
Lalpur Jam,LPJ,,
Lalpur Umri,LRU,,
Lalru,LLU,Punjab,
Lamana,LNA,,
Lambhua,LBA,,
Lambiya,LMA,,
Lamsakhang,LKG,Assam,
Landaura,LDR,,
Langting,LGT,Assam,
Lanka,LKA,Assam,
Laopani,LPN,Assam,
Lar Road,LRD,,
Lasalgaon,LS,Maharashtra,
Lasur,LSR,,
Latehar,LTHR,Jharkhand,
Lathi,LAT,Gujarat,
Latur,LUR,Maharashtra,
Latur Road,LTRR,Maharashtra,
Laukaha Bazar,LKQ,,
Laul,LAUL,,
Lawa Sardargarh,LSG,,
Ledarmer,LDM,Rajasthan,
Lehra Gaga,LHA,,
Lidhora Khurd,LDA,,
Liliya Mota,LMO,,
Limbdi,LM,Gujarat,
Limkheda,LMK,,
Linch,LCH,,
Lingampalli,LPI,Telangana,
Liluah,LLH,,
Lodipur Bishnpr,LDP,,
Loha,LOHA,,
Loharu,LHU,Haryana,
Loharwara,LHW,,
Lohian Khas Junction,LNK,Punjab,
Lohna Road,LNO,Bihar,
Lohogad,LHD,,
Loisingha,LSX,Odisha,
Lokmanya Tilak Terminus,LTT,Maharashtra,
Lonand,LNN,,
Lonavala,LNL,Maharashtra,
Londa Junction,LD,Karnataka,
Loni,LONI,Maharashtra,
Lorwada,LW,,
Lower Haflong,LFG,Assam,
Lower Parel,PL,Maharashtra,
Lowjee,,Maharashtra,
Luckeesarai Junction,LKR,Bihar,
Lucknow Junction,LJN,Uttar Pradesh,
Lucknow,LKO,Uttar Pradesh,
Lucknow City,LC,Uttar Pradesh,
Ludhiana Junction,LDH,Punjab,
Lumding Junction,LMG,Assam,
Lunavada,LNV,Gujarat,
Luni Junction,LUNI,Rajasthan,
Luni Richha,LNR,,
Lunidhar,LDU,,
Lunkaransar,LKS,Rajasthan,
Lusa,LUSA,,
Lusadiya,LSD,,
Lushala,LAL,,
Lalgola,LGL,West Bengal,
M[edit],,,
Station Name,Station Code,State,
Macharya,MCV,,
Machavaram,AMIN,Telangana,
Machavaram,MCVM,Andhra Pradesh,
Machelipatnam,MTM,Andhra Pradesh,
Macherla,MCLA,Andhra Pradesh,
Madan Mahal,MML,Madhya Pradesh,
Madanapalle Rd,MPL,Andhra Pradesh,
Madanpur,MDR,,
Maddur,MAD,Karnataka,
Madhavnagar,MDVR,Maharashtra,
Madukarai(Coimbatore),MDKI,Tamil Nadu,
Madurai,MDU,Tamil Nadu,
Madgaon,MAO,Goa,
Mithlanchal Deep,Madhubani,Bihar,
Madha,MA,Maharashtra,
Madhabpur,MDBP,,
Madhapar,MDHP,,
Madhapur Road,MADP,,
Madhi,MID,,
Madhira,MDR,Telangana,
Madhopur Punjab,MDPB,Punjab,
Madhorajpur,MQH,,
Madhosingh,MBS,,
Madhubani,MBI,Bihar,
Madhupur Junction,MDP,Jharkhand,
Madurai Junction,MDU,Tamil Nadu,
Madurantakam,MMK,Tamil Nadu,
Madure,MADR,,
Maghar,MHH,,
Mahadanapuram,MMH,,
Mahadevpara,MHDP,,
Mahajan,MHJ,,
Mahalam,MFM,,
Mahalaxmi,MX,Maharashtra,
Mahamandir,MMC,,
Mahansar,MWR,,
Mahasamund,MSMD,Chhattisgarh,
Mahbubabad,MABD,Telangana,
Mahbubnagar,MBNR,Telangana,
Mahe,MAHE,"Mahe, Puducherry",
Maheji,MYJ,,
Mahendragarh,MHRG,Haryana,
Mahes Khunt,MSK,,
Mahesana Junction,MSH,Gujarat,
Maheshmunda,MMD,,
Mahidpur Road,MEP,,
Mahim,MM,Maharashtra,
Mahisgaon,MGO,,
Mahmudabad Avdh,MMB,Uttar Pradesh,
Mahmudpur SRYN,MZN,,
Mahoba,MBA,Uttar Pradesh,
Maholi,MAHO,,
Mahpur,MHO,,
Mahuamilan,MMLN,,
Mahuariya,MXY,,
Mahuda Junction,MHQ,Jharkhand,
Mahugarha,MUGA,,
Mahur,MXR,Assam,
Mahuva Junction,MHV,Gujarat,
Maibang,MBG,Assam,
Maihar,MYR,Madhya Pradesh,
Maikalganj,MINJ,,
Mailani,MLN,Uttar Pradesh,
Mailongdisa,MGX,Assam,
Mainpuri,MNQ,Uttar Pradesh,
Mairabari,MBO,Assam,
Mairwa,MW,Bihar,
Majbat,MJBT,,
Majgaon,MZQ,Assam,
Majhagawan,MJG,Uttar Pradesh,
Majhola Pakarya,MJZ,,
Majorda,MJO,Goa,
Makhu,MXH,Haryana,
Makrana Junction,MKN,Rajasthan,
Makrera,MKRA,,
Makronia,MKRN,Madhya Pradesh,
Maksi,MKC,Madhya Pradesh,
Malad,MDD,Maharashtra,
Malarna,MLZ,,
Malavli,MVL,Maharashtra,
Malda Town,MLDT,West Bengal,
Malerkotla,MET,Punjab,
Malethu Kanak,MEQ,,
Malhargarh,MLG,,
Malhour,ML,,
Malihabad,MLD,,
Malipur,MLPR,,
Maliya Hatina,MLHA,,
Maliya Miyana,MALB,Gujarat,
Malkapur,MKU,Maharashtra,
Malkhaid Road,MQR,Maharashtra,
Malkisar,MLC,,
Mallanwala Khas,MWX,,
Malleswaram,MWM,,
Malliyam,MY,,
Malout,MOT,,
Malpura,MLA,,
Malsailu,MLSU,,
Malsian Shahkht,MQS,,
Malugur,MLU,,
Malur,MLO,Karnataka,
Malwan,MWH,Uttar Pradesh,
Malwara,MBW,Rajasthan,
Maman,MOM,,
Manaksar,MNSR,,
Manamadurai Junction,MNM,Tamil Nadu,
Mananpur,MNP,,
Manaparai,MPA,Tamil Nadu,
Manauri,MRE,,
Manavadar,MVR,,
Mancherial,MCI,Telangana,
Mancheswar,MCS,Odisha,
Manda Road,MNF,,
Mandagere,MGF,,
Mandal,MDL,,
Mandalgarh,MLGH,,
Mandapam,MMM,Tamil Nadu,
Mandapam Camp,MC,,
Mandar Hill,MDLE,Bihar,
Mandasa Road,MMS,Andhra Pradesh,
Mandasor,MDS,Madhya Pradesh,
Manderdisa,MYD,Assam,
"Mandhana Junction, Kanpur",MDA,Uttar Pradesh,
Mandi Adampur,ADR,Haryana,
Mandi Bamora,MABA,Madhya Pradesh,
Mandi Dabwali,MBY,Haryana,
Mandi Dhanaura,MNDR,,
Mandi Dip,MDDP,Madhya Pradesh,
Mandla Fort,MFR,Madhya Pradesh,
Mandor,MDB,Rajasthan,
Mandrak,MXK,,
Manduadih,MUV,Uttar Pradesh,
Mandya,MYA,Karnataka,
Manendragarh,MDGR,,
Mangalagiri,MAG,Andhra Pradesh,
Mangaliyawas,MLI,,
Mangaluru Central,MAQ,Karnataka,
Mangaluru Junction,MAJN,Karnataka,
Mangaon,MNI,Maharashtra,
Mangliya Gaon,MGG,Madhya Pradesh,
Mangolpuri,MGLP,Delhi,
Mangra,MAZ,,
Manheru,MHU,,
Manigachi,MGI,,
Manikpur Junction,MKP,Uttar Pradesh,
Maninagar,MAN,Gujarat,
Manipur Bagan,MOAR,Assam,
Vanchi Maniyachchi Junction,MEJ,Tamil Nadu,
Manjeshwar,MJS,,
Mankapur Junction,MUR,Uttar Pradesh,
Mankar,MNAE,,
Mankarai,MNY,,
Mankatha,MKB,,
Mankhurd,M,Maharashtra,
Manki,MANK,,
Manmad Junction,MMR,Maharashtra,
Mannanur,MNUR,,
Manoharganj,MNJ,,
Manoharpur,MOU,,
Mansa,MSZ,Punjab,
Mansarovar,,Maharashtra,
Mansi Junction,MNE,Bihar,
Mansurpur,MSP,,
Manthralayam Road,MALM,Andhra Pradesh,
Manuguru,MUGR,Telangana,
Manwath Road,MVO,Maharashtra,
Manzurgarhi,MZGI,,
Marahra,MH,,
Maramjhiri,MJY,,
Marauda,MXA,,
Mariahu,MAY,,
Mariani Junction,MXN,Assam,
Marikuppam,MKM,,
Marine Lines,MEL,Maharashtra,
Maripat,MIU,,
Markapur Road,MRK,Andhra Pradesh,
Markundi,MKD,,
Marmagao,MRH,,
Maroli,MRL,Gujarat,
Marsul,MRV,,
Marthipalayam,MPLM,,
Marwar Bagra,MBGA,Rajasthan,
Marwar Balia,MBSK,Rajasthan,
Marwar Bhinmal,MBNL,Rajasthan,
Marwar Birthi,MBT,Rajasthan,
Marwar Chapri,MCPE,Rajasthan,
Marwar Junction,MJ,Rajasthan,
Marwar Kori,KOF,Rajasthan,
Marwar Lohwat,MWT,Rajasthan,
Marwar Mathanya,MMY,Rajasthan,
Marwar Ratanpur,MSQ,Rajasthan,
Masit,MST,,
Masjid Bunder,MSD,Maharashtra,
Maskanwa,MSW,,
Masodha,MSOD,,
Masrakh,MHC,,
Masur,MSR,,
Matana Buzurg,MABG,,
Mataundh,MTH,,
Mathura Cantonment,MRT,Uttar Pradesh,
Mathura Junction,MTJ,Uttar Pradesh,
Matlabpur,MTB,,
Matmari,MTU,,
Mattancheri Halt,MTNC,,
Matunga,,Maharashtra,
Matunga Road,MRU,Maharashtra,
Mau Aimma,MEM,Uttar Pradesh,
Mau Junction,MAU,Uttar Pradesh,
Mau Ranipur,MRPR,Uttar Pradesh,
Maur,MAUR,Punjab,
Maval,MAA,,
Mavelikara,MVLK,Kerala,
Mavli Junction,MVJ,Rajasthan,
Mayanoor,MYU,Tamil Nadu,
Mayiladuturai Junction,MV,Tamil Nadu,
Mayyanad,MYY,Kerala,
McCluskieganj,MGME,Uttar Pradesh,
Mecheda,MCA,West Bengal,
Medchal,MED,Telangana,
Meerut Cantonment,MUT,Uttar Pradesh,
Meerut City,MTC,Uttar Pradesh,
Meghnagar,MGN,Madhya Pradesh,
Mehnar Road,MNO,,
Mehsi,MAI,,
Meja Road,MJA,,
Melmaruvattur,MLMR,,
Melusar,MELH,,
Mendipathar,MNDP,Meghalaya,
Memari,MYM,,
Meralgram,MQX,,
Merta City,MEC,Rajasthan,
Merta Road Junction,MTD,Rajasthan,
Mettur,MTE,Tamil Nadu,
Metupalaiyam,MTP,Tamil Nadu,
Mettur Dam,MTDM,Tamil Nadu,
Mhasavad,MWD,Maharashtra,
Mahemdavad Kheda Road,MHD,Gujarat,
Mhow,MHOW,Madhya Pradesh,
Midnapore,MDN,West Bengal,
Migrendisa,MGE,Assam,
Mihinpurwa,MIN,,
Mihrawan,MIH,,
Milak,MIL,,
Minjur,MJR,Tamil Nadu,
Miraj Junction,MRJ,Maharashtra,
Miranpur Katra,MK,,
Mira Road,MIRA,Maharashtra,
Mirchadhori,MCQ,,
Mirhakur,MIQ,,
Mirthal,MRTL,Punjab,
Mirza,MRZA,Assam,
Mirzapali,MZL,,
Miryalaguda,MRGA,Telangana,
Mirzapur,MZP,Uttar Pradesh,
Misamari,MSMI,,
Misrauli,MFL,,
Mitha,MITA,,
Mithapur,MTHP,,
Miyagam Karjan,MYG,Gujarat,
Miyana,MYN,Gujarat,
Miyona ka Bara,MNKB,Rajasthan,
Modelgram,MG,,
Modinagar,MDNR,Uttar Pradesh,
Modnimb,MLB,,
Modpur,MDPR,,
Modran,MON,,
Moga,MOGA,Punjab,
Mohammadkhera,MQE,,
Mohanlalganj,MLJ,Uttar Pradesh,
Mohiuddinnagar,MOG,,
Mohiuddinpur,MUZ,Uttar Pradesh,
Mohol,MO,,
Mohri,MOY,Haryana,
Mokalsar,MKSR,Rajasthan,
Mokama Junction,MKA,Bihar,
Mokholi,MXL,,
Monabari,MFC,,
Monacherra,MNCR,Assam,
Mondh,MOF,,
Munger,MGR,Bihar,
Monglajhora,MONJ,Assam,
Moore Market Complex (Chennai Central Suburban),MMC,Tamil Nadu,
Moradabad,MB,Uttar Pradesh,
Morak,MKX,,
Morappur,MAP,Tamil Nadu,
Morbi,MVI,Gujarat,
Mordar,MRDD,,
Morena,MRA,Madhya Pradesh,
Mori Bera,MOI,,
Morinda,MRND,Punjab,
Morthala,MXO,,
Mota Jadra,MQZ,,
Moterjhar,MTJR,Assam,
Moth,MOTH,Uttar Pradesh,
Mothala,MTIA,,
Mothala Halt,MTHH,,
Motichur,MOTC,,
Bapudham Motihari,BMKI,Bihar,
Motipur,MTR,,
Motipura Chauki,MTPC,,
Moula-Ali,MOU,Telangana,
Muddanuru,MOO,,
Mudkhed Junction,MUE,Maharashtra,
Muftiganj,MFJ,,
Mughal Sarai Junction,MGS,Uttar Pradesh,
Muhammadabad,MMA,,
Muirpur Road,MPF,,
Mukerian,MEX,Punjab,
Mukhtiar Balwar,MKT,,
Muktsar,MKS,Punjab,
Mukundarayapuram,MCN,,
Muli Road,MOL,,
Mulki,MULK,,
Mullanpur,MLX,Punjab,
Mulanur,,,
Multai,MTY,Madhya Pradesh,
Mulund,,Maharashtra,
Mumbai Central,BCL,Maharashtra,
Mumbra,,Maharashtra,
Munabao,MBF,Rajasthan,
Mundalaram,MDLM,,
Mundha Pande,MPH,,
Mundhewadi,MVE,,
Mungaoli,MNV,,
Muniguda,MNGD,Odisha,
Munirabad,MRB,,
Munroturuttu,MQO,Kerala,
Mupa,MUPA,Assam,
Muradnagar,MUD,Uttar Pradesh,
Murdeshwar,MDRW,,
Murdeshwar,MRDW,,
Muri,MURI,Jharkhand,
Murkeongselek,MZS,Assam,
Murliganj,MRIJ,,
Murshadpur,MSDR,,
Murshidabad,MBB,West Bengal,
Murtizapur Junction,MZR,Maharashtra,
Musafir Khana,MFKA,Uttar Pradesh,
Mustafabad,MFB,,
Muttarasanallur,MTNL,,
Mutupet,MTT,,
Muzaffarnagar,MOZ,Uttar Pradesh,
Muzaffarpur Junction,MFP,Bihar,
Muzzampur Narayan,MZM,,
Mysuru Junction,MYS,Karnataka,
N[edit],,,
Station Name,Station Code,State,
Naya Ghaziabad,GZN,Uttar Pradesh,
N J Ramanal,NJM,,
Nabadwip Dham,NDAE,West Bengal,
Nabha,NBA,Punjab,
Nadauj,NDU,,
Nadiad Junction,ND,Gujarat,
Nandikoor,NAND,Karnatak,
Nadikudi,NDKD,Telangana,
Nagal,NGL,,
Naganahalli,NHY,,
Nagaon,NGAN,Assam,
Nagappattinam junction,NGT,Tamil Nadu,
Nagar,NGE,Rajasthan,
Nagar Untari,NUQ,Jharkhand,
Nagercoil Junction,NCJ,Tamil Nadu,
Nagardevla,NGD,,
Nagargali,NAG,,
Nagari,NGI,Andhra Pradesh,
Nagaria Sadat,NRS,,
Nagarur,NRR,,
Nagaur,NGO,Rajasthan,
Nagbhir Junction,NAB,Maharashtra,
Nagda Junction,NAD,Madhya Pradesh,
Nagercoil Town,NGK,Tamil Nadu,
Nagina,NGG,Uttar Pradesh,
Naglatula,NGLT,,
Nagore,NCR,Tamil Nadu,
Nagpur,NGP,Maharashtra,
Nagrota,NGRT,Punjab,
Naharkatiya,NHK,,
Naharlagun,NHLN,Arunachal Pradesh,
Nahur,,Maharashtra,
Naigaon,NIG,Maharashtra,
Naihati Junction,NH,West Bengal,
Naikheri,NKI,,
Naila,NIA,Chhattisgarh,
Naini,NYN,Uttar Pradesh,
Nainpur Junction,NIR,Madhya Pradesh,
Najibabad Junction,NBD,,
Nakodar Junction,NRO,,
Nalanda,NLD,Bihar,
Nala Sopara,NSP,Maharashtra,
Nalbari,NLV,Assam,
Nalgonda,NLDA,Telangana,
Nalhati,NHT,West Bengal,
Naliya,NLY,Gujarat,
Naliya Cantonment,NLC,Gujarat,
Nalwar,NW,,
Namakkal,NMKL,Tamil Nadu,
Namburu,NBR,,
Namkom,NKM,Jharkhand,
Namli,NLI,,
Namrup,NAM,Assam,
Nana,NANA,,
Nana Bhamodra,NBHM,,
Nanaksar,NNKR,,
Nandalur,NRE,Andhra Pradesh,
Nandapur,NDPR,,
Hazur Sahib Nanded,NED,Maharashtra,
Nandganj,NDJ,,
Nandgaon,NGN,Maharashtra,
Nandgaon Road,NAN,,
Nandiambakkam,NPKM,Tamil Nadu,
Nandol Dehegam,NHM,,
Nandura,NN,Maharashtra,
Nandurbar,NDB,Maharashtra,
Nandyal Junction,NDL,Andhra Pradesh,
Nangal Dam,NLDM,Punjab,
Nangloi,NNO,Delhi,
Nanguneri,NNN,Tamil Nadu,
Nanjangud Town,NTW,Karnataka,
Nanpara Junction,NNP,,
Naojan,NJN,,
Napasar,NPS,Rajasthan|,
Nar Town,NTN,,
Naraikkinar,NRK,Tamil Nadu,
Naraina,NRI,Delhi,
Narangi,NNGE,Assam,
Naranjipur,NRGR,,
Narasapur,NS,Andhra Pradesh,
Narasaraopet,NRT,Andhra Pradesh,
Narayanpet Road,NRPD,,
Narayanpur,NNR,Assam,
Narayanpur Anant,NRPA,Bihar,
Nardana,NDN,,
Narela,NUR,Delhi,
Nari Road,NROD,,
Nariaoli,NOI,,
Narkatiaganj Junction,NKE,Bihar,
Narkher,NRKR,Maharashtra,
Narnaul,NNL,Haryana,
Naroda,NRD,,
Narsinghpur,NU,Madhya Pradesh,
Narwana Junction,NRW,Haryana,
Narwasi,NRWI,,
Nasik Road,NK,Maharashtra,
Nasirabad,NSD,,
Nathdwara,NDT,Rajasthan|,
Nathwana,NTZ,,
Naugachia,NNA,Bihar,
Nauganwan,NGW,,
